ds,yhat,yhat_lower,yhat_upper
2021-11-21 12:00:30,26993525.42081414,12226406.844708748,41804940.661770284
2021-11-21 12:01:00,26994772.28264534,11833757.715922836,40763149.811102375
2021-11-21 12:01:30,27009491.401217837,11644416.776383052,41107300.82395471
2021-11-21 12:02:00,27037533.521972902,11443460.42875741,43330897.32823563
2021-11-21 12:02:30,27078473.304999787,12538218.354162961,41873020.72147079
2021-11-21 12:03:00,27131619.491365146,12930060.918771572,43129273.36516613
2021-11-21 12:03:30,27196030.22884864,12354604.009559099,42157344.47863143
2021-11-21 12:04:00,27270533.275513973,13546779.13180841,41547171.818106055
2021-11-21 12:04:30,27353750.667585075,14765483.066844573,41780496.85677442
2021-11-21 12:05:00,27444127.369466983,13259036.28533092,41326122.05677811
2021-11-21 12:05:30,27539963.351570595,13298393.581021229,41821233.26143011
2021-11-21 12:06:00,27639448.47603498,13760222.978754573,41934885.38777268
2021-11-21 12:06:30,27740699.5159619,13566268.797069611,42260241.30145069
2021-11-21 12:07:00,27841798.602638423,13800123.231100757,42095730.03790089
2021-11-21 12:07:30,27940832.33722598,14091031.759485528,41678760.06439954
2021-11-21 12:08:00,28035930.849167068,14959961.056432188,42557023.22724889
2021-11-21 12:08:30,28125305.999656454,13898526.92447282,41697037.65180788
2021-11-21 12:09:00,28207288.055372,12978186.454359489,41720563.21667082
2021-11-21 12:09:30,28280360.06307795,14576201.001720997,42758802.93219068
2021-11-21 12:10:00,28343189.294331405,13855064.159984037,44045795.717586175
2021-11-21 12:10:30,28394655.135006554,14884337.473114925,42915474.186182514
2021-11-21 12:11:00,28433872.8698591,14437967.073166989,43674193.5106812
2021-11-21 12:11:30,28460212.897501614,12755443.15703705,43175669.92317131
2021-11-21 12:12:00,28473314.966866262,14610817.585690826,43633946.308039114
2021-11-21 12:12:30,28473097.185428306,14446121.743633328,42442236.63453417
2021-11-21 12:13:00,28459759.549441934,13048592.28129273,41483340.56596728
2021-11-21 12:13:30,28433781.937379267,15073962.518543985,41575164.937931366
2021-11-21 12:14:00,28395916.558011785,12992526.217226248,42457931.58950086
2021-11-21 12:14:30,28347174.97658897,13757884.671872234,44056601.40180839
2021-11-21 12:15:00,28288809.924784575,14777375.035435744,42820377.41687939
2021-11-21 12:15:30,28222292.229258545,13834011.215425517,42551093.04733972
2021-11-21 12:16:00,28149283.23532685,14003940.876830865,42890466.45026301
2021-11-21 12:16:30,28071603.258114025,13186575.644776192,40829660.34918839
2021-11-21 12:17:00,27991196.60241528,14109049.604815338,41042805.26060138
2021-11-21 12:17:30,27910093.81342164,12652052.010411557,42045416.65435877
2021-11-21 12:18:00,27830371.85704516,13967719.041716613,43605946.981513165
2021-11-21 12:18:30,27754112.952711962,14538172.218244875,42832298.97011557
2021-11-21 12:19:00,27683362.848737396,14060264.903095553,41703349.8277826
2021-11-21 12:19:30,27620089.31996552,13347292.806387194,43932627.108300686
2021-11-21 12:20:00,27566141.69990608,13262163.553096054,42638909.98346811
2021-11-21 12:20:30,27523212.178061742,13107934.791043228,42044553.57445307
2021-11-21 12:21:00,27492799.67455601,13706232.037190018,41651545.728072405
2021-11-21 12:21:30,27476176.963775504,11983880.640283754,43110051.488031
2021-11-21 12:22:00,27474361.720547248,12305512.306474572,41402394.70921864
2021-11-21 12:22:30,27488092.08191796,12742880.031661559,41868862.45206885
2021-11-21 12:23:00,27517807.226559635,11112915.696425902,43963409.34069935
2021-11-21 12:23:30,27563633.425755776,13746103.103143416,43005460.71603959
2021-11-21 12:24:00,27625375.866570324,14858857.326953577,42087332.86613564
2021-11-21 12:24:30,27702516.50017905,13426208.603863738,41783993.78302696
2021-11-21 12:25:00,27794218.018917874,12450940.6094161,40800500.0258557
2021-11-21 12:25:30,27899333.998971332,12577611.299550328,41930321.662587404
2021-11-21 12:26:00,28016425.065774284,14863387.136047257,41639979.08763441
2021-11-21 12:26:30,28143780.91966897,12756375.465556761,43657068.56435306
2021-11-21 12:27:00,28279447.842106137,13648886.136899324,41661954.2574125
2021-11-21 12:27:30,28421261.33288804,13213510.045265764,42684594.68625096
2021-11-21 12:28:00,28566883.258683622,13586055.090814302,41859537.14366434
2021-11-21 12:28:30,28713843.01368701,14924576.364821848,42791990.52749277
2021-11-21 12:29:00,28859581.900022544,14260021.687283488,43805204.93765273
