ds,yhat,yhat_lower,yhat_upper
2021-11-21 12:00:30,40155.130168511314,-202890.95008296793,251586.2037016447
2021-11-21 12:01:00,39924.51370804456,-188652.02195996733,291003.3447984682
2021-11-21 12:01:30,39840.56432764577,-184530.90079968274,270379.38407994044
2021-11-21 12:02:00,39901.683741932924,-189277.64945719106,280788.27494980313
2021-11-21 12:02:30,40103.34294289302,-184331.03654698352,271627.76319513324
2021-11-21 12:03:00,40438.18666927057,-183240.2298115592,270478.7525512204
2021-11-21 12:03:30,40896.1922224733,-183304.55021687792,284886.47536337253
2021-11-21 12:04:00,41464.87971945944,-188712.2711770906,256292.9808725402
2021-11-21 12:04:30,42129.56960120851,-171777.97276817265,278497.6115730295
2021-11-21 12:05:00,42873.68258595961,-182796.44688019386,288559.9105734172
2021-11-21 12:05:30,43679.07631509447,-178380.05905519705,281693.96443381335
2021-11-21 12:06:00,44526.41233412902,-178119.75579827116,276794.32940317
2021-11-21 12:06:30,45395.54636486894,-168540.030800134,279259.46101105947
2021-11-21 12:07:00,46265.93471930362,-182000.01509250235,276309.724316111
2021-11-21 12:07:30,47117.04865956389,-193687.64412416777,275704.10110077943
2021-11-21 12:08:00,47928.789369079495,-176359.33628929604,269946.25452896353
2021-11-21 12:08:30,48681.89502082899,-187911.71893706324,277396.1975611045
2021-11-21 12:09:00,49358.33282267661,-154446.76139941462,253368.63190018488
2021-11-21 12:09:30,49941.667884352944,-173863.9058437,253898.15945435083
2021-11-21 12:10:00,50417.402176074334,-180963.74248670205,268153.34273428743
2021-11-21 12:10:30,50773.27683853629,-178498.46683670048,275323.14261205064
2021-11-21 12:11:00,50999.531918940214,-189644.3538586749,282160.20152958436
2021-11-21 12:11:30,51089.11846398771,-198010.09020594333,276571.3869735008
2021-11-21 12:12:00,51037.858384026666,-172941.68516303232,300465.4580984888
2021-11-21 12:12:30,50844.549297710495,-167976.38790814445,289577.601754588
2021-11-21 12:13:00,50511.01141474991,-181842.44150126795,282644.3157809476
2021-11-21 12:13:30,50042.07564485512,-174529.27926369885,267027.1891459585
2021-11-21 12:14:00,49445.51246557597,-176232.175293419,283661.98118626646
2021-11-21 12:14:30,48731.90272021666,-166411.70425801523,260225.84988773183
2021-11-21 12:15:00,47914.45212414903,-178961.5536317905,280335.50786326354
2021-11-21 12:15:30,47008.75291543144,-162812.15826724522,271848.2198642825
2021-11-21 12:16:00,46032.49620167462,-190877.1632751043,261863.9345437588
2021-11-21 12:16:30,45005.14063405239,-176205.12470412758,279791.737311384
