,ds,yhat,yhat_lower,yhat_upper
0,2021-11-20 14:21:49,28129990.620184124,15254507.92897052,42215623.1133394
1,2021-11-20 14:21:54,28135496.089253508,14610363.435987597,42127433.99286232
2,2021-11-20 14:21:59,28141001.558322888,15531697.746228278,41305796.11753255
3,2021-11-20 14:22:04,28146507.027392272,15756639.033725124,42337249.18016728
4,2021-11-20 14:22:09,28152012.496461652,14353556.936157849,41862034.04233059
5,2021-11-20 14:22:14,28157517.965531033,15235485.720960101,41067389.34462217
6,2021-11-20 14:22:19,28163023.434600417,15070165.769053625,41530018.790841095
7,2021-11-20 14:22:24,28168528.9036698,13234024.419567302,44338159.58831838
8,2021-11-20 14:22:29,28174034.37273918,14722756.60549821,43232140.09178177
9,2021-11-20 14:22:34,28179539.84180856,14118964.29954265,41205503.59822062
10,2021-11-20 14:22:39,28185045.310877945,13064712.756435424,42064764.4227833
11,2021-11-20 14:22:44,28190550.779947326,13614744.535831576,41718026.811203
12,2021-11-20 14:22:49,28196056.24901671,14377219.565637572,41038158.675095916
13,2021-11-20 14:22:54,28201561.718086094,15688711.358913597,41891323.87245156
14,2021-11-20 14:22:59,28207067.18715547,14403517.394525679,41505495.51589123
15,2021-11-20 14:23:04,28212572.656224854,14116770.583487077,42541755.44964268
16,2021-11-20 14:23:09,28218078.12529424,14330154.728387672,42683168.478926845
17,2021-11-20 14:23:14,28223583.594363622,15058701.560711466,41787709.86700169
18,2021-11-20 14:23:19,28229089.063433003,15704309.649919612,41464106.59520448
19,2021-11-20 14:23:24,28234594.532502383,15913897.68532626,42876072.662907094
20,2021-11-20 14:23:29,28240100.001571767,14009896.792044956,41406804.37791711
21,2021-11-20 14:23:34,28245605.470641147,15268858.8341942,42231489.07911534
22,2021-11-20 14:23:39,28251110.93971053,15682953.454851676,42272004.8201676
23,2021-11-20 14:23:44,28256616.408779915,13799594.269182673,42312941.43569248
24,2021-11-20 14:23:49,28262121.877849292,13976386.082248008,42035760.058988035
25,2021-11-20 14:23:54,28267627.346918676,14031359.995597385,41597296.71551228
26,2021-11-20 14:23:59,28273132.81598806,16814053.338330906,42783201.94228217
27,2021-11-20 14:24:04,28278638.28505744,14032919.880853899,41553020.644665204
28,2021-11-20 14:24:09,28284143.754126824,14021375.744167164,41276497.1316578
29,2021-11-20 14:24:14,28289649.223196205,15248291.495591307,42494263.19379093
30,2021-11-20 14:24:19,28295154.692265585,15285711.813855665,41622837.94380867
31,2021-11-20 14:24:24,28300660.16133497,14255866.480544455,42771274.97965755
32,2021-11-20 14:24:29,28306165.630404353,14220416.364386128,42982834.961252704
33,2021-11-20 14:24:34,28311671.099473733,14968893.304575676,41974398.54428739
34,2021-11-20 14:24:39,28317176.568543114,14982602.384039674,42211556.87871899
35,2021-11-20 14:24:44,28322682.037612498,13887871.90496804,42057910.959727205
36,2021-11-20 14:24:49,28328187.506681878,14793356.717810988,40797132.877749346
37,2021-11-20 14:24:54,28333692.975751262,14616104.689621884,41067187.6580259
38,2021-11-20 14:24:59,28339198.444820646,13547829.831373468,41231267.674427465
39,2021-11-20 14:25:04,28344703.913890023,14659332.078030972,42786062.043877564
40,2021-11-20 14:25:09,28350209.382959407,15111746.512679333,42010891.17775331
41,2021-11-20 14:25:14,28355714.85202879,14712674.147156704,40224492.05742423
42,2021-11-20 14:25:19,28361220.32109817,14737306.386449363,42376004.31863908
43,2021-11-20 14:25:24,28366725.790167555,13836054.514556771,41398571.73580229
44,2021-11-20 14:25:29,28372231.259236936,14080615.58315275,41948904.75366092
45,2021-11-20 14:25:34,28377736.72830632,15545447.23376905,42839625.25596417
46,2021-11-20 14:25:39,28383242.1973757,14469529.010655273,42639271.73494476
47,2021-11-20 14:25:44,28388747.666445084,15322178.597293258,41504964.037473135
48,2021-11-20 14:25:49,28394253.135514468,13785867.72438421,43243344.027050406
49,2021-11-20 14:25:54,28399758.604583845,15610037.159100894,42136406.27121318
50,2021-11-20 14:25:59,28405264.07365323,13762539.720559435,41946153.94146216
51,2021-11-20 14:26:04,28410769.542722613,12801320.07237371,42616371.96737178
52,2021-11-20 14:26:09,28416275.011791993,14363871.481453134,42149027.07494191
53,2021-11-20 14:26:14,28421780.480861377,15300356.990371928,41614324.01630486
54,2021-11-20 14:26:19,28427285.949930757,16172953.199551566,42874123.84614149
55,2021-11-20 14:26:24,28432791.419000138,13865324.52746649,41743100.08459111
56,2021-11-20 14:26:29,28438296.88806952,15808620.698621033,42580919.23234024
57,2021-11-20 14:26:34,28443802.357138906,14068386.245445186,42158789.91165421
58,2021-11-20 14:26:39,28449307.826208286,13728180.442276338,42416914.18509192
59,2021-11-20 14:26:44,28454813.295277666,15014043.893281661,42775286.39090467
60,2021-11-20 14:26:49,28460318.76434705,15483378.843048057,40815166.91223907
61,2021-11-20 14:26:54,28465824.23341643,13957748.486942621,41429189.76949862
62,2021-11-20 14:26:59,28471329.702485815,15025178.161242094,41790791.46609046
63,2021-11-20 14:27:04,28476835.1715552,16090815.411180994,42119666.72530894
64,2021-11-20 14:27:09,28482340.640624575,14678526.869691053,42950578.57459891
65,2021-11-20 14:27:14,28487846.10969396,15831525.9586388,41382795.92400846
66,2021-11-20 14:27:19,28493351.578763343,15772682.313108407,43084514.063827515
67,2021-11-20 14:27:24,28498857.047832724,15086124.092713892,42619085.24696991
68,2021-11-20 14:27:29,28504362.516902108,13381310.436424844,41680026.90678471
69,2021-11-20 14:27:34,28509867.985971484,15823355.976416335,43054545.03459996
70,2021-11-20 14:27:39,28515373.455384307,14634136.958105018,43348215.42992232
71,2021-11-20 14:27:44,28520878.92479713,15297535.711376142,41334987.28745323
72,2021-11-20 14:27:49,28526384.39420995,15977907.744939746,41435370.2958101
73,2021-11-20 14:27:54,28531889.863622773,12963564.12616222,42423044.62434067
74,2021-11-20 14:27:59,28537395.3330356,15684158.225803206,43236508.449003935
75,2021-11-20 14:28:04,28542900.802448418,15023323.594890757,42457883.71156523
76,2021-11-20 14:28:09,28548406.27186124,15126598.17117714,42551958.12761783
77,2021-11-20 14:28:14,28553911.741274063,14330735.370933037,42999344.15449923
78,2021-11-20 14:28:19,28559417.210686885,14201597.914071664,40519741.85980306
79,2021-11-20 14:28:24,28564922.680099707,14548764.075278593,43849344.79842742
80,2021-11-20 14:28:29,28570428.14951253,14539573.995042862,41334500.61995345
81,2021-11-20 14:28:34,28575933.618925348,14075107.742921563,42642125.76766298
82,2021-11-20 14:28:39,28581439.08833817,13548812.098990418,42525453.240128785
83,2021-11-20 14:28:44,28586944.557750992,15082425.161433715,42448646.313229576
84,2021-11-20 14:28:49,28592450.027163815,14619849.420839576,42331256.56592628
85,2021-11-20 14:28:54,28597955.496576637,15636840.572785024,41649736.47922907
86,2021-11-20 14:28:59,28603460.96598946,13990612.710992912,43226037.87247155
87,2021-11-20 14:29:04,28608966.435402278,13615385.586391648,43489270.46567836
88,2021-11-20 14:29:09,28614471.9048151,15341267.07922184,43859226.76949569
89,2021-11-20 14:29:14,28619977.374227922,13805281.894973597,42313999.845983215
90,2021-11-20 14:29:19,28625482.843640745,15261368.833529852,42660386.95537312
91,2021-11-20 14:29:24,28630988.313053567,13882860.248587724,41350946.22020286
92,2021-11-20 14:29:29,28636493.78246639,14083612.170168437,44359308.621993735
93,2021-11-20 14:29:34,28641999.251879208,14435700.553456219,41690302.184074745
